residue  ensemble  template
0 0.037472065997917525 0
1 0.008153477596252401 0
2 0.00014951981996791375 0
3 0.0023680914809069975 0
4 0.0005970678926701112 0
5 0.00043424062684138676 0
6 4.145588942350287e-06 0
7 2.837777901731897e-05 0
8 0.002683553124370519 0
9 4.2611228536770795e-05 0
10 0.0025262329437509834 0
11 0.007752825884381309 0
12 1.4918227179805399e-05 0
13 0.00026097290401594364 0
14 0.00010143429244635627 0
15 0.00012194460941827856 0
16 1.378906269167146e-07 0
17 0.00010900270389058164 0
18 0.00034362553742539603 0
19 7.433351106556074e-05 0
20 3.6083083099214264e-07 0
21 3.111543833256292e-05 0
22 4.773095866994481e-06 0
23 0.0002458173394188634 0
24 0.0046632926823804155 0
25 0.010569917969405651 0
26 0.04923205490922555 0
27 0.033893636229549884 0
28 0.019162557247909717 0
29 0.05153695731132757 0
30 0.03000485829397803 0
31 0.00464158143631721 0
32 0.021717224867870755 0
33 0.018217515469586942 0
34 0.0018076226187986322 0
35 0.010465155469319143 0
36 0.0178653329626286 0
37 0.000380800180209917 0
38 0.00016655769650242291 0
39 0.0008434629403488714 0
40 7.641012457426655e-05 0
41 0.0001891803995022201 0
42 0.00034513997320573253 0
43 0.012093756318790838 0
44 0.0006549065043870428 0
45 3.363812931311827e-06 0
46 8.250650071373045e-06 0
47 0.0038911776005079446 0
48 1.6244541939158808e-05 0
49 0.00014832948451726224 0
50 0.00039275543339556407 0
51 0.005934885706082582 0
52 0.0046445461379107655 0
53 0.0008617336502538819 0
54 3.1776460495791525e-05 0
55 8.63515492710576e-06 0
56 2.7505559074825214e-07 0
57 0.000211738595908173 0
58 0.0010613325989652367 0
59 3.5974872446331574e-05 0
60 0.0008626968938187929 0
61 0.001819577046262566 0
62 0.005106812925077975 0
63 0.0027226415695622563 0
64 0.013129101895628992 0
65 0.01037131743947839 0
66 0.0037017779250163585 0
67 0.019208753190468997 0
68 0.003197872226337495 0
69 0.007377899670927945 0
70 0.10247578374128352 0
71 0.02763536186694182 0
72 0.018143477856028767 0
73 5.714901248587978e-05 0
74 0.0006294116626568425 0
75 0.002384365701345814 0
76 0.001524912983768445 0
77 0.0020529616331828038 0
78 0.01158384717973604 0
79 0.003744565779925324 0
80 0.0008939554622884316 0
81 0.00013896774930799438 0
82 0.00027687656304919983 0
83 0.00032204524617895913 0
84 0.0014196367674230714 0
85 2.9566273161307777e-05 0
86 0.009503333463953823 0
87 0.004750932752699555 0
88 0.011296512166154571 0
89 0.00014103599269787992 0
90 0.004110030276933685 0
91 0.024158326334145386 0
92 0.005382652994853743 0
93 0.0001780037408991575 0
94 0.00010554218748914934 0
95 2.915459408237009e-05 0
96 0.0007731100793735846 0
97 0.002163318158315941 0
98 2.7630566402578327e-07 0
99 0.0014778630695986283 0
100 0.00024030392828322533 0
101 0.00011659520506146492 0
102 1.4825652484340424e-05 0
103 7.674768980336921e-07 0
104 1.206541492138058e-05 0
105 1.3930192608313519e-05 0
106 1.933162285805423e-08 0
107 8.653928631474628e-07 0
108 1.4586729776056018e-05 0
109 1.8835616629075957e-05 0
110 0.0009347736661311501 0
111 0.0002458997296344023 0
112 0.0014058449160074815 0
113 0.0041492817108519375 0
114 0.0007246733097190372 0
115 4.76064286658584e-06 0
116 0.00021096905857120873 0
117 2.510965828150802e-06 0
118 0.0012655765399358643 0
119 0.0004458726762095466 0
120 0.0008292894121950667 0
